RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  9    M =  12

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
    4    6     0     0  con    0  1.0E+00  4.1E-02  6.342E-03  8.770E+00
    5    7     0     0  con    0  1.0E+00  5.1E-02  4.309E-03  8.770E+00
    6    8     0     0  con    0  1.0E+00  2.4E-02  3.540E-03  8.770E+00
    7    9     0     0  con    0  1.0E+00  5.2E-03  1.243E-03  8.770E+00
    8   10     0     0  con    0  1.0E+00  2.8E-03  3.574E-04  8.770E+00
    9   11     0     0  con    0  1.0E+00  8.8E-04  4.079E-04  8.770E+00
   10   12     0     0  con    0  1.0E+00  6.3E-03  5.691E-04  8.770E+00
   11   13     0     0  con    0  1.0E+00  3.9E-03  3.144E-04  8.770E+00
   12   14     0     0  con    0  1.0E+00  3.1E-03  4.992E-05  8.770E+00
   13   15     0     0  con    0  1.0E+00  3.4E-04  2.149E-05  8.770E+00
   14   16     0     0  con    0  1.0E+00  1.2E-04  1.279E-05  8.770E+00
   15   17     0     0  con    0  1.0E+00  4.1E-05  5.329E-06  8.770E+00
   16   18     0     0  con    0  1.0E+00  1.3E-05  5.329E-06  8.770E+00
   17   19     0     0  con    0  1.0E+00  4.6E-05  8.171E-06  8.770E+00
   18   20     0     0  con    0  1.0E+00  7.0E-05  1.439E-05  8.770E+00
   19   21     0     0  con    0  1.0E+00  3.8E-04  3.624E-05  8.770E+00
   20   22     0     0  con    0  1.0E+00  4.0E-04  4.565E-05  8.770E+00
   21   23     0     0  con    0  1.0E+00  1.5E-03  5.667E-05  8.770E+00
   22   24     0     0  con    0  1.0E+00  4.4E-03  8.651E-05  8.770E+00
   23   25     0     0  con    0  1.0E+00  1.6E-03  5.063E-05  8.770E+00
   24   26     0     0  con    0  1.0E+00  1.6E-03  4.849E-05  8.770E+00
   25   27     0     0  con    0  1.0E+00  5.0E-03  8.864E-05  8.770E+00
   26   28     0     0  con    0  1.0E+00  8.3E-03  1.142E-04  8.770E+00
   27   29     0     0  con    0  1.0E+00  2.4E-02  2.293E-04  8.770E+00
   28   30     0     0  con    0  1.0E+00  6.0E-02  3.963E-04  8.770E+00
   29   31     0     0  con    0  1.0E+00  1.6E-01  6.477E-04  8.770E+00
   30   32     0     0  con    0  1.0E+00  3.3E-01  9.278E-04  8.770E+00
   31   33     0     0  con    0  1.0E+00  2.8E+00  2.513E-03  8.770E+00
   32   34     0     0  con    0  1.0E+00  1.9E-01  2.164E-03  8.770E+00
   33   35     0     0  con    0  1.0E+00  1.5E+00  6.324E-04  8.770E+00
   34   36     0     0  con    0  1.0E+00  5.2E+00  2.904E-03  8.769E+00
   35   37     0     0  con    0  1.0E+00  1.4E+01  5.159E-03  8.769E+00
   36   38     0     0  con    0  1.0E+00  4.2E+01  8.424E-03  8.769E+00
   37   39     0     0  con    0  1.0E+00  3.9E+01  5.016E-03  8.769E+00
   38   40     0     0  con    0  1.0E+00  8.4E+01  6.286E-03  8.769E+00
   39   41     0     0  con    0  1.0E+00  5.8E+01  4.498E-03  8.769E+00
   40   42     0     0  con    0  1.0E+00  4.6E+01  6.530E-03  8.769E+00
   41   43     0     0  con    0  1.0E+00  1.6E+02  8.574E-03  8.768E+00
   42   44     0     0  con    0  1.0E+00  4.3E+02  2.619E-02  8.768E+00
   43   45     0     0  con    0  1.0E+00  6.2E+01  1.169E-02  8.767E+00
   44   46     0     0  con    0  1.0E+00  1.3E+01  6.265E-03  8.767E+00
   45   47     0     0  con    0  1.0E+00  9.1E+01  2.916E-03  8.766E+00
   46   48     0     0  con    0  1.0E+00  6.6E+01  2.318E-03  8.766E+00
   47   50     0     0  con    1  2.7E-01  1.1E+01  1.335E-03  8.766E+00
   48   51     0     0  con    0  1.0E+00  2.0E+01  3.908E-04  8.766E+00
   49   52     0     0  con    0  1.0E+00  3.1E+00  2.888E-04  8.766E+00
   50   53     0     0  con    0  1.0E+00  8.8E+00  6.962E-04  8.766E+00
   51   54     0     0  con    0  1.0E+00  1.7E+00  4.665E-04  8.766E+00
   52   55     0     0  con    0  1.0E+00  3.6E-01  2.782E-04  8.766E+00
   53   56     0     0  con    0  1.0E+00  5.8E-01  1.457E-04  8.766E+00
   54   57     0     0  con    0  1.0E+00  8.8E-01  5.542E-05  8.766E+00
   55   58     0     0  con    0  1.0E+00  4.3E-01  1.599E-05  8.766E+00
   56   61     0     0  con    2  6.9E-01  2.6E-02  6.395E-06  8.766E+00
   57   63     0     0  con    1  2.1E-01  2.7E-03  4.263E-06  8.766E+00
   58   65     0     0  con    1  2.3E-01  2.0E-03  2.665E-06  8.766E+00
   59   67     0     0  con    1  3.9E-01  6.0E-04  1.599E-06  8.766E+00
   60   77     0     0  con    9  7.2E-07  5.0E-09  1.776E-06  8.766E+00

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Total User time 1.747E+00 seconds.

